model,field,id_15,id_19,status,ttype_15,ttype_19,relation_15,relation_19,store_15,store_19,required_15,required_19,readonly_15,readonly_19
auth_totp.device,create_date,1408,1620,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
auth_totp.device,display_name,1411,1616,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
auth_totp.device,id,1409,1615,SAME_DEFINITION,integer,integer,,,t,t,f,f,t,t
auth_totp.device,name,1405,1617,SAME_DEFINITION,char,char,,,t,t,t,t,t,t
auth_totp.device,scope,1407,1619,SAME_DEFINITION,char,char,,,t,t,f,f,t,t
auth_totp.device,user_id,1406,1618,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,t,t,t,t
auth_totp.wizard,code,1419,1641,CHANGED_DEFINITION,char,char,,,t,f,f,f,f,f
auth_totp.wizard,create_date,1424,1643,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
auth_totp.wizard,create_uid,1423,1642,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
auth_totp.wizard,display_name,1422,1636,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
auth_totp.wizard,id,1420,1635,SAME_DEFINITION,integer,integer,,,t,t,f,f,t,t
auth_totp.wizard,qrcode,1418,1640,SAME_DEFINITION,binary,binary,,,t,t,f,f,t,t
auth_totp.wizard,secret,1416,1638,SAME_DEFINITION,char,char,,,t,t,t,t,t,t
auth_totp.wizard,url,1417,1639,SAME_DEFINITION,char,char,,,t,t,f,f,t,t
auth_totp.wizard,user_id,1415,1637,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,t,t,t,t
auth_totp.wizard,write_date,1426,1645,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
auth_totp.wizard,write_uid,1425,1644,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
avatar.mixin,avatar_1024,809,915,SAME_DEFINITION,binary,binary,,,f,f,f,f,t,t
avatar.mixin,avatar_128,812,918,SAME_DEFINITION,binary,binary,,,f,f,f,f,t,t
avatar.mixin,avatar_1920,808,914,SAME_DEFINITION,binary,binary,,,f,f,f,f,t,t
avatar.mixin,avatar_256,811,917,SAME_DEFINITION,binary,binary,,,f,f,f,f,t,t
avatar.mixin,avatar_512,810,916,SAME_DEFINITION,binary,binary,,,f,f,f,f,t,t
avatar.mixin,image_1024,804,910,SAME_DEFINITION,binary,binary,,,t,t,f,f,t,t
avatar.mixin,image_128,807,913,SAME_DEFINITION,binary,binary,,,t,t,f,f,t,t
avatar.mixin,image_1920,803,909,SAME_DEFINITION,binary,binary,,,t,t,f,f,f,f
avatar.mixin,image_256,806,912,SAME_DEFINITION,binary,binary,,,t,t,f,f,t,t
avatar.mixin,image_512,805,911,SAME_DEFINITION,binary,binary,,,t,t,f,f,t,t
base.automation,active,2934,3819,SAME_DEFINITION,boolean,boolean,,,t,t,f,f,f,f
base.automation,activity_summary,2975,3793,SAME_DEFINITION,char,char,,,f,f,f,f,f,f
base.automation,activity_type_id,2974,3789,SAME_DEFINITION,many2one,many2one,mail.activity.type,mail.activity.type,f,f,f,f,f,f
base.automation,activity_user_id,2980,3788,CHANGED_DEFINITION,many2one,many2one,res.users,res.users,f,f,f,f,f,t
base.automation,create_date,2950,3836,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.automation,create_uid,2949,3835,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.automation,display_name,2948,3785,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.automation,filter_domain,2941,3831,SAME_DEFINITION,char,char,,,t,t,f,f,f,f
base.automation,filter_pre_domain,2940,3829,SAME_DEFINITION,char,char,,,t,t,f,f,f,f
base.automation,id,2946,3784,SAME_DEFINITION,integer,integer,,,t,t,f,f,t,t
base.automation,last_run,2942,3832,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.automation,model_id,2963,3811,CHANGED_DEFINITION,many2one,many2one,ir.model,ir.model,f,t,t,t,f,f
base.automation,model_name,2964,3812,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.automation,name,2953,3809,CHANGED_DEFINITION,char,char,,,f,t,t,t,f,f
base.automation,on_change_field_ids,2943,3833,SAME_DEFINITION,many2many,many2many,ir.model.fields,ir.model.fields,t,t,f,f,f,f
base.automation,trg_date_calendar_id,2939,3828,SAME_DEFINITION,many2one,many2one,resource.calendar,resource.calendar,t,t,f,f,f,f
base.automation,trg_date_id,2936,3824,SAME_DEFINITION,many2one,many2one,ir.model.fields,ir.model.fields,t,t,f,f,f,f
base.automation,trg_date_range,2937,3825,SAME_DEFINITION,integer,integer,,,t,t,f,f,f,f
base.automation,trg_date_range_type,2938,3827,SAME_DEFINITION,selection,selection,,,t,t,f,f,f,f
base.automation,trigger,2935,3820,SAME_DEFINITION,selection,selection,,,t,t,t,t,f,f
base.automation,trigger_field_ids,2944,3834,SAME_DEFINITION,many2many,many2many,ir.model.fields,ir.model.fields,t,t,f,f,f,f
base.automation,write_date,2952,3838,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.automation,write_uid,2951,3837,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.document.layout,company_details,1378,1575,SAME_DEFINITION,html,html,,,f,f,f,f,f,f
base.document.layout,company_id,1373,1570,SAME_DEFINITION,many2one,many2one,res.company,res.company,t,t,t,t,f,f
base.document.layout,country_id,1397,1595,SAME_DEFINITION,many2one,many2one,res.country,res.country,f,f,f,f,t,t
base.document.layout,create_date,1402,1597,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.document.layout,create_uid,1401,1596,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.document.layout,custom_colors,1384,1582,SAME_DEFINITION,boolean,boolean,,,f,f,f,f,f,f
base.document.layout,display_name,1400,1569,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.document.layout,email,1393,1591,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.document.layout,external_report_layout_id,1380,1578,SAME_DEFINITION,many2one,many2one,ir.ui.view,ir.ui.view,f,f,f,f,f,f
base.document.layout,font,1381,1579,SAME_DEFINITION,selection,selection,,,f,f,f,f,f,f
base.document.layout,id,1398,1568,SAME_DEFINITION,integer,integer,,,t,t,f,f,t,t
base.document.layout,layout_background,1387,1585,SAME_DEFINITION,selection,selection,,,f,f,f,f,f,f
base.document.layout,layout_background_image,1388,1586,SAME_DEFINITION,binary,binary,,,f,f,f,f,f,f
base.document.layout,logo,1374,1571,SAME_DEFINITION,binary,binary,,,f,f,f,f,f,f
base.document.layout,logo_primary_color,1385,1583,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.document.layout,logo_secondary_color,1386,1584,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.document.layout,name,1396,1594,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.document.layout,paperformat_id,1379,1577,SAME_DEFINITION,many2one,many2one,report.paperformat,report.paperformat,f,f,f,f,f,f
base.document.layout,partner_id,1391,1589,SAME_DEFINITION,many2one,many2one,res.partner,res.partner,f,f,f,f,t,t
base.document.layout,phone,1392,1590,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.document.layout,preview,1390,1588,SAME_DEFINITION,html,html,,,f,f,f,f,t,t
base.document.layout,preview_logo,1375,1572,SAME_DEFINITION,binary,binary,,,f,f,f,f,t,t
base.document.layout,primary_color,1382,1580,SAME_DEFINITION,char,char,,,f,f,f,f,f,f
base.document.layout,report_footer,1377,1574,SAME_DEFINITION,html,html,,,f,f,f,f,f,f
base.document.layout,report_header,1376,1573,SAME_DEFINITION,html,html,,,f,f,f,f,f,f
base.document.layout,report_layout_id,1389,1587,SAME_DEFINITION,many2one,many2one,report.layout,report.layout,t,t,f,f,f,f
base.document.layout,secondary_color,1383,1581,SAME_DEFINITION,char,char,,,f,f,f,f,f,f
base.document.layout,vat,1395,1593,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.document.layout,website,1394,1592,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.document.layout,write_date,1404,1599,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.document.layout,write_uid,1403,1598,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.enable.profiling.wizard,create_date,795,897,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.enable.profiling.wizard,create_uid,794,896,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.enable.profiling.wizard,display_name,793,893,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.enable.profiling.wizard,duration,789,894,SAME_DEFINITION,selection,selection,,,t,t,f,f,f,f
base.enable.profiling.wizard,expiration,790,895,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,f,f
base.enable.profiling.wizard,id,791,892,SAME_DEFINITION,integer,integer,,,t,t,f,f,t,t
base.enable.profiling.wizard,write_date,797,899,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.enable.profiling.wizard,write_uid,796,898,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.language.export,create_date,1331,1528,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.language.export,create_uid,1330,1527,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.language.export,data,1325,1525,SAME_DEFINITION,binary,binary,,,t,t,f,f,t,t
base.language.export,display_name,1329,1516,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.language.export,format,1323,1519,SAME_DEFINITION,selection,selection,,,t,t,t,t,f,f
base.language.export,id,1327,1515,SAME_DEFINITION,integer,integer,,,t,t,f,f,t,t
base.language.export,lang,1322,1518,SAME_DEFINITION,selection,selection,,,t,t,t,t,f,f
base.language.export,modules,1324,1521,SAME_DEFINITION,many2many,many2many,ir.module.module,ir.module.module,t,t,f,f,f,f
base.language.export,name,1321,1517,SAME_DEFINITION,char,char,,,t,t,f,f,t,t
base.language.export,state,1326,1526,SAME_DEFINITION,selection,selection,,,t,t,f,f,f,f
base.language.export,write_date,1333,1530,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.language.export,write_uid,1332,1529,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.language.import,code,1291,1490,SAME_DEFINITION,char,char,,,t,t,t,t,f,f
base.language.import,create_date,1299,1495,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.language.import,create_uid,1298,1494,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.language.import,data,1292,1491,SAME_DEFINITION,binary,binary,,,t,t,t,t,f,f
base.language.import,display_name,1297,1488,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.language.import,filename,1293,1492,SAME_DEFINITION,char,char,,,t,t,t,t,f,f
base.language.import,id,1295,1487,SAME_DEFINITION,integer,integer,,,t,t,f,f,t,t
base.language.import,name,1290,1489,SAME_DEFINITION,char,char,,,t,t,t,t,f,f
base.language.import,overwrite,1294,1493,SAME_DEFINITION,boolean,boolean,,,t,t,f,f,f,f
base.language.import,write_date,1301,1497,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.language.import,write_uid,1300,1496,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.language.install,create_date,1287,1484,SAME_DEFINITION,datetime,datetime,,,t,t,f,f,t,t
base.language.install,create_uid,1286,1483,SAME_DEFINITION,many2one,many2one,res.users,res.users,t,t,f,f,t,t
base.language.install,display_name,1285,1479,SAME_DEFINITION,char,char,,,f,f,f,f,t,t
base.language.install,id,1283,1478,SAME_DEFINITION,integer,integer,,,t,t,f,f,t,t
base.language.install,overwrite,1281,1481,SAME_DEFINITION,boolean,boolean,,,t,t,f,f,f,f
