areas_cierre_wizard_rel|areas_id|sicpro_app_trabajadores_cierre_wizard|id|areas_cierre_wizard_rel_areas_id_fkey
areas_cierre_wizard_rel|wizard_id|sicpro_app_trabajadores_areas|id|areas_cierre_wizard_rel_wizard_id_fkey
audittail_rules_users|user_id|sicpro_modulo_auditorias_rule|id|audittail_rules_users_user_id_fkey
doc_attach_rel|doc_id|sicpro_app_trabajadores_documentos|id|doc_attach_rel_doc_id_fkey
ir_attachment_sicpro_app_gestor_documental_rel|sicpro_app_gestor_documental_id|sicpro_app_gestor_documental|id|ir_attachment_sicpro_app_gest_sicpro_app_gestor_documental_fkey
ir_attachment_sicpro_app_reuniones_acuerdos_rel|sicpro_app_reuniones_acuerdos_id|sicpro_app_reuniones_acuerdos|id|ir_attachment_sicpro_app_reun_sicpro_app_reuniones_acuerdo_fkey
ir_attachment_sicpro_app_soporte_rel|sicpro_app_soporte_id|sicpro_app_soporte|id|ir_attachment_sicpro_app_soporte_rel_sicpro_app_soporte_id_fkey
ir_attachment_sicpro_app_trabajadores_disiplinaria_acciones_rel|sicpro_app_trabajadores_disiplinaria_acciones_id|sicpro_app_trabajadores_disiplinaria_acciones|id|ir_attachment_sicpro_app_trab_sicpro_app_trabajadores_disi_fkey
ir_module_module|addons_path_id|sicpro_app_administracion_directorio_app|id|ir_module_module_addons_path_id_fkey
res_users_sicpro_app_reuniones_acuerdos_rel|sicpro_app_reuniones_acuerdos_id|sicpro_app_reuniones_acuerdos|id|res_users_sicpro_app_reunione_sicpro_app_reuniones_acuerdo_fkey
res_users_sicpro_app_soporte_cronograma_plan_rel|sicpro_app_soporte_cronograma_plan_id|sicpro_app_soporte_cronograma_plan|id|res_users_sicpro_app_soporte__sicpro_app_soporte_cronogram_fkey
sicpro_app_administracion_directorio_app|create_uid|res_users|id|sicpro_app_administracion_directorio_app_create_uid_fkey
sicpro_app_administracion_directorio_app|write_uid|res_users|id|sicpro_app_administracion_directorio_app_write_uid_fkey
sicpro_app_administracion_mantenimiento|create_uid|res_users|id|sicpro_app_administracion_mantenimiento_create_uid_fkey
sicpro_app_administracion_mantenimiento|write_uid|res_users|id|sicpro_app_administracion_mantenimiento_write_uid_fkey
sicpro_app_administracion_rest_api_historial|create_uid|res_users|id|sicpro_app_administracion_rest_api_historial_create_uid_fkey
