model,id_15,id_19,status,name_15,name_19,state_15,state_19
_unknown,2,2,SAME_ID,Unknown,"{""en_US"": ""Unknown"", ""es_ES"": ""Desconocido""}",base,base
account.analytic.account,,421,ONLY_19,,"{""en_US"": ""Analytic Account"", ""es_ES"": ""Cuenta analítica""}",,base
account.analytic.applicability,,420,ONLY_19,,"{""en_US"": ""Analytic Plan's Applicabilities"", ""es_ES"": ""Aplicabilidad del plan analítico""}",,base
account.analytic.distribution.model,,425,ONLY_19,,"{""en_US"": ""Analytic Distribution Model"", ""es_ES"": ""Modelo de distribución analítica""}",,base
account.analytic.line,,423,ONLY_19,,"{""en_US"": ""Analytic Line"", ""es_ES"": ""Línea analítica""}",,base
account.analytic.plan,,419,ONLY_19,,"{""en_US"": ""Analytic Plans"", ""es_ES"": ""Planes analíticos:""}",,base
addon.import.wizard,,494,ONLY_19,,"{""en_US"": ""Asistente de integración de módulos""}",,base
analytic.mixin,,424,ONLY_19,,"{""en_US"": ""Analytic Mixin"", ""es_ES"": ""Mixin analítico""}",,base
analytic.plan.fields.mixin,,422,ONLY_19,,"{""en_US"": ""Analytic Plan Fields"", ""es_ES"": ""Campos de planes analíticos""}",,base
api.rest.field,1113,,ONLY_15,Campos utilizados en el Api Rest,,base,
api.rest.function.parameter,1115,,ONLY_15,Parámetros utilizados en el Api Rest,,base,
api.rest.log,1116,,ONLY_15,Historial de accesos al Api Rest,,base,
api.rest.path,1112,,ONLY_15,Registro de aplicaciones para el Api Rest,,base,
api.rest.tag,1114,,ONLY_15,Categorías del Api Rest,,base,
api.rest.version,1111,,ONLY_15,Registro de versiones del Api Rest,,base,
auditlog.autovacuum,,482,ONLY_19,,"{""en_US"": ""Registro de auditoría: eliminar registros antiguos""}",,base
auditlog.http.request,,476,ONLY_19,,"{""en_US"": ""Registro de auditoría: registro de solicitudes HTTP""}",,base
auditlog.http.session,,477,ONLY_19,,"{""en_US"": ""Registro de auditoría: registro de sesión de usuario HTTP""}",,base
auditlog.log,,478,ONLY_19,,"{""en_US"": ""Registro de auditoría - Registro""}",,base
auditlog.log.line,,479,ONLY_19,,"{""en_US"": ""Registro de auditoría: detalles del registro (campos actualizados)""}",,base
auditlog.log.line.view,,480,ONLY_19,,"{""en_US"": ""Registro de auditoría: detalles del registro (campos actualizados)""}",,base
auditlog.rule,,481,ONLY_19,,"{""en_US"": ""Registro de auditoría - Regla""}",,base
auth.passkey.key,,140,ONLY_19,,"{""en_US"": ""Passkey"", ""es_ES"": ""Clave de acceso""}",,base
auth.passkey.key.create,,141,ONLY_19,,"{""en_US"": ""Create a Passkey"", ""es_ES"": ""Crear una clave de acceso""}",,base
auth.totp.rate.limit.log,,129,ONLY_19,,"{""en_US"": ""TOTP rate limit logs"", ""es_ES"": ""Cantidad límite de registros de TOTP""}",,base
auth_totp.device,116,128,DIFFERENT_ID,Authentication Device,"{""en_US"": ""Authentication Device"", ""es_ES"": ""Dispositivo de autenticación""}",base,base
auth_totp.wizard,117,130,DIFFERENT_ID,2-Factor Setup Wizard,"{""en_US"": ""2-Factor Setup Wizard"", ""es_ES"": ""Asistente de la configuración de la autenticación de dos factores""}",base,base
avatar.mixin,76,82,DIFFERENT_ID,Avatar Mixin,"{""en_US"": ""Avatar Mixin"", ""es_ES"": ""Avatar Mixin""}",base,base
base,1,1,SAME_ID,Base,"{""en_US"": ""Base"", ""es_ES"": ""Base""}",base,base
base.automation,352,413,DIFFERENT_ID,Automated Action,"{""en_US"": ""Automation Rule"", ""es_ES"": ""Regla de automatización""}",base,base
base.document.layout,115,126,DIFFERENT_ID,Company Document Layout,"{""en_US"": ""Company Document Layout"", ""es_ES"": ""Diseño de documentos de la compañía""}",base,base
base.enable.profiling.wizard,74,80,DIFFERENT_ID,Enable profiling for some time,"{""en_US"": ""Enable profiling for some time"", ""es_ES"": ""Habilitar análisis de rendimiento por cierto tiempo""}",base,base
base.import.module,,133,ONLY_19,,"{""en_US"": ""Import Module"", ""es_ES"": ""Importar módulo""}",,base
base.language.export,110,121,DIFFERENT_ID,Language Export,"{""en_US"": ""Language Export"", ""es_ES"": ""Exportación de idioma""}",base,base
base.language.import,107,118,DIFFERENT_ID,Language Import,"{""en_US"": ""Language Import"", ""es_ES"": ""Importación de idioma""}",base,base
base.language.install,106,117,DIFFERENT_ID,Install Language,"{""en_US"": ""Install Language"", ""es_ES"": ""Instalar idioma""}",base,base
base.module.install.request,,370,ONLY_19,,"{""en_US"": ""Module Activation Request"", ""es_ES"": ""Solicitud de activación de módulo""}",,base
base.module.install.review,,371,ONLY_19,,"{""en_US"": ""Module Activation Review"", ""es_ES"": ""Revisión de la activación del módulo""}",,base
base.module.uninstall,109,120,DIFFERENT_ID,Module Uninstall,"{""en_US"": ""Module Uninstall"", ""es_ES"": ""Desinstalar módulo""}",base,base
base.module.update,105,116,DIFFERENT_ID,Update Module,"{""en_US"": ""Update Module"", ""es_ES"": ""Actualizar módulo""}",base,base
base.module.upgrade,108,119,DIFFERENT_ID,Upgrade Module,"{""en_US"": ""Upgrade Module"", ""es_ES"": ""Actualizar módulo""}",base,base
base.partner.merge.automatic.wizard,113,123,DIFFERENT_ID,Merge Partner Wizard,"{""en_US"": ""Merge Partner Wizard"", ""es_ES"": ""Asistente de fusión de contactos""}",base,base
base.partner.merge.line,112,122,DIFFERENT_ID,Merge Partner Line,"{""en_US"": ""Merge Partner Line"", ""es_ES"": ""Fusionar línea de contacto""}",base,base
base.update.translations,111,,ONLY_15,Update Translations,,base,
base_import.import,119,132,DIFFERENT_ID,Base Import,"{""en_US"": ""Base Import"", ""es_ES"": ""Importación base""}",base,base
base_import.mapping,118,131,DIFFERENT_ID,Base Import Mapping,"{""en_US"": ""Base Import Mapping"", ""es_ES"": ""Mapeo de la importación base""}",base,base
base_import.tests.models.char,120,,ONLY_15,"Tests : Base Import Model, Character",,base,
base_import.tests.models.char.noreadonly,124,,ONLY_15,"Tests : Base Import Model, Character No readonly",,base,
base_import.tests.models.char.readonly,122,,ONLY_15,"Tests : Base Import Model, Character readonly",,base,
base_import.tests.models.char.required,121,,ONLY_15,"Tests : Base Import Model, Character required",,base,
base_import.tests.models.char.states,123,,ONLY_15,"Tests : Base Import Model, Character states",,base,
base_import.tests.models.char.stillreadonly,125,,ONLY_15,"Tests : Base Import Model, Character still readonly",,base,
base_import.tests.models.complex,134,,ONLY_15,Tests: Base Import Model Complex,,base,
base_import.tests.models.float,133,,ONLY_15,Tests: Base Import Model Float,,base,
base_import.tests.models.m2o,126,,ONLY_15,"Tests : Base Import Model, Many to One",,base,
base_import.tests.models.m2o.related,127,,ONLY_15,"Tests : Base Import Model, Many to One related",,base,
base_import.tests.models.m2o.required,128,,ONLY_15,"Tests : Base Import Model, Many to One required",,base,
base_import.tests.models.m2o.required.related,129,,ONLY_15,"Tests : Base Import Model, Many to One required related",,base,
base_import.tests.models.o2m,130,,ONLY_15,"Tests : Base Import Model, One to Many",,base,
base_import.tests.models.o2m.child,131,,ONLY_15,"Tests : Base Import Model, One to Many child",,base,
base_import.tests.models.preview,132,,ONLY_15,Tests : Base Import Model Preview,,base,
bus.bus,136,135,DIFFERENT_ID,Communication Bus,"{""en_US"": ""Communication Bus"", ""es_ES"": ""Bus de comunicación""}",base,base
bus.listener.mixin,,136,ONLY_19,,"{""en_US"": ""Can send messages via bus.bus"", ""es_ES"": ""Puede enviar mensajes mediante bus.bus""}",,base
bus.presence,137,,ONLY_15,User Presence,,base,
calendar.actividades.organizativas,1692,676,DIFFERENT_ID,Actividades Organizativas del Calendario,"{""en_US"": ""Actividades Organizativas del Calendario""}",base,base
calendar.alarm,386,375,DIFFERENT_ID,Event Alarm,"{""en_US"": ""Event Alarm"", ""es_ES"": ""Alerta del evento""}",base,base
calendar.alarm_manager,387,376,DIFFERENT_ID,Event Alarm Manager,"{""en_US"": ""Event Alarm Manager"", ""es_ES"": ""Gestor de alertas del calendario""}",base,base
calendar.attendee,383,372,DIFFERENT_ID,Calendar Attendee Information,"{""en_US"": ""Calendar Attendee Information"", ""es_ES"": ""Información del calendario de asistentes""}",base,base
calendar.cargos.externos,1693,677,DIFFERENT_ID,Cargo Externos del Calendario,"{""en_US"": ""Cargo Externos del Calendario""}",base,base
calendar.cumplimiento.reporte,1861,678,DIFFERENT_ID,Cumplimiento del plan de trabajo,"{""en_US"": ""Cumplimiento del plan de trabajo""}",base,base
calendar.event,385,374,DIFFERENT_ID,Calendar Event,"{""en_US"": ""Calendar Event"", ""es_ES"": ""Evento de calendario""}",base,base
calendar.event.type,389,378,DIFFERENT_ID,Event Meeting Type,"{""en_US"": ""Event Meeting Type"", ""es_ES"": ""Tipo de reunión""}",base,base
calendar.filters,388,377,DIFFERENT_ID,Calendar Filters,"{""en_US"": ""Calendar Filters"", ""es_ES"": ""Filtros de calendario""}",base,base
calendar.pie.firmas,2332,680,DIFFERENT_ID,Pie de Firma del Calendario,"{""en_US"": ""Pie de Firma del Calendario""}",base,base
calendar.plan.reporte,1324,681,DIFFERENT_ID,Reportes del plan de trabajo,"{""en_US"": ""Reportes del plan de trabajo""}",base,base
calendar.popover.delete.wizard,,380,ONLY_19,,"{""en_US"": ""Calendar Popover Delete Wizard"", ""es_ES"": ""Asistente para eliminar ventana emergente del calendario""}",,base
calendar.provider.config,,379,ONLY_19,,"{""en_US"": ""Calendar Provider Configuration Wizard"", ""es_ES"": ""Asistente de configuración de proveedor de calendario""}",,base
calendar.recurrence,384,373,DIFFERENT_ID,Event Recurrence Rule,"{""en_US"": ""Event Recurrence Rule"", ""es_ES"": ""Regla de recurrencia de evento""}",base,base
calendar.tareas.principales.generales,3038,682,DIFFERENT_ID,Registros de tareas principales y generales,"{""en_US"": ""Registros de tareas principales y generales""}",base,base
calendar.tipo.calendario,1325,683,DIFFERENT_ID,Tipo de Calendario,"{""en_US"": ""Tipo de Calendario""}",base,base
change.password.own,,106,ONLY_19,,"{""en_US"": ""User, change own password wizard"", ""es_ES"": ""Usuario, asistente para cambiar la propia contraseña""}",,base
change.password.user,99,105,DIFFERENT_ID,"User, Change Password Wizard","{""en_US"": ""User, Change Password Wizard"", ""es_ES"": ""Usuario, asistente para cambiar la contraseña""}",base,base
change.password.wizard,98,104,DIFFERENT_ID,Change Password Wizard,"{""en_US"": ""Change Password Wizard"", ""es_ES"": ""Asistente de cambio de contraseña""}",base,base
decimal.precision,103,114,DIFFERENT_ID,Decimal Precision,"{""en_US"": ""Decimal Precision"", ""es_ES"": ""Precisión decimal""}",base,base
digest.digest,1089,411,DIFFERENT_ID,Digest,"{""en_US"": ""Digest"", ""es_ES"": ""Resumen""}",base,base
digest.tip,1090,412,DIFFERENT_ID,Digest Tips,"{""en_US"": ""Digest Tips"", ""es_ES"": ""Consejos del resumen""}",base,base
discuss.call.history,,218,ONLY_19,,"{""en_US"": ""Keep the call history"", ""es_ES"": ""Mantener el historial de llamadas""}",,base
discuss.channel,,221,ONLY_19,,"{""en_US"": ""Discussion Channel"", ""es_ES"": ""Canal de conversaciones""}",,base
discuss.channel.member,,219,ONLY_19,,"{""en_US"": ""Channel Member"", ""es_ES"": ""Miembro del canal""}",,base
discuss.channel.rtc.session,,220,ONLY_19,,"{""en_US"": ""Mail RTC session"", ""es_ES"": ""Sesión de comunicación en tiempo real por correo""}",,base
discuss.gif.favorite,,222,ONLY_19,,"{""en_US"": ""Save favorite GIF from Tenor API"", ""es_ES"": ""Marcar un GIF de Tenor API como favorito""}",,base
discuss.voice.metadata,,223,ONLY_19,,"{""en_US"": ""Metadata for voice attachments"", ""es_ES"": ""Metadatos para los archivos adjuntos de voz""}",,base
execute.script,,483,ONLY_19,,"{""en_US"": ""Ejecutar consultas PostgreSQL o de código Python desde la interfaz de SICPRO ERP""}",,base
fetchmail.server,313,173,DIFFERENT_ID,Incoming Mail Server,"{""en_US"": ""Incoming Mail Server"", ""es_ES"": ""Servidor de correo de entrada""}",base,base
format.address.mixin,81,88,DIFFERENT_ID,Address Format,"{""en_US"": ""Address Format"", ""es_ES"": ""Formato de dirección""}",base,base
format.vat.label.mixin,,87,ONLY_19,,"{""en_US"": ""Country Specific VAT Label"", ""es_ES"": ""Etiqueta de IVA específica del país""}",,base
gamification.badge,395,426,DIFFERENT_ID,Gamification Badge,"{""en_US"": ""Gamification Badge"", ""es_ES"": ""Insignia de ludificación""}",base,base
gamification.badge.user,394,427,DIFFERENT_ID,Gamification User Badge,"{""en_US"": ""Gamification User Badge"", ""es_ES"": ""Insignia de usuario de ludificación""}",base,base
