module|xml_name|group_id_15|group_name_15|group_id_19|group_name_19|status
base|group_user|1|Internal User|1|Role / User|EXISTE_19
base|group_erp_manager|2|Access Rights|2|Permisos de acceso|EXISTE_19
base|group_system|3|Settings|4|Rol / Administrador|EXISTE_19
base|group_multi_company|4|Multi Companies|5|Múltiples compañías|EXISTE_19
base|group_no_one|6|Technical Features|7|Características técnicas|EXISTE_19
base|group_allow_export|7|Acceso a la función de exportación|8|Permitido|EXISTE_19
base|group_partner_manager|8|Contact Creation|9|Creación|EXISTE_19
base|group_private_addresses|11|Acceso a direcciones privadas|||NO_EXISTE_19
mail|group_mail_template_editor|12|Mail Template Editor|15|Editor de plantillas de correo|EXISTE_19
sicpro_app_administracion|grupo_app_administracion_admin|13|Administrador|17|Administrador|EXISTE_19
sicpro_app_administracion|grupo_app_administracion_notificaciones|14|Notificar|18|Notificaciones Administrativas|EXISTE_19
sicpro_app_administracion|grupo_canal_staff|15|Canal del STAFF|19|Canal del STAFF|EXISTE_19
sicpro_app_administracion|grupo_canal_proyectos|16|Canal de Proyectos|20|Canal de Proyectos|EXISTE_19
sicpro_app_administracion|grupo_canal_deoct|17|Canal de DEOCT|21|Canal de DEOCT|EXISTE_19
sicpro_app_administracion|grupo_canal_deoit|18|Canal de DEOIT|22|Canal de DEOIT|EXISTE_19
sicpro_modulo_importar_seguridad|group_import_csv|21|	Acceso a la función de Importar datos|||NO_EXISTE_19
sicpro_app_soporte|group_soporte_ejecutor|23|Ejecutor|109|Ejecutor|EXISTE_19
sicpro_app_soporte|group_soporte_responsable|24|Responsable|110|Responsable|EXISTE_19
sicpro_app_soporte|group_soporte_admin|25|Administrador|111|Administrador|EXISTE_19
sicpro_app_soporte|group_soporte_todos|26|Visualizar Todos los Tickets de Soporte|112|Visualizar Todos los Tickets de Soporte|EXISTE_19
survey|group_survey_user|27|User|28|Usuario|EXISTE_19
survey|group_survey_manager|28|Administrator|29|Administrador|EXISTE_19
sicpro_app_gestor_documental|group_document_user|29|Usuario|36|Usuario|EXISTE_19
sicpro_app_gestor_documental|group_document_manager|30|Ejecutor|37|Ejecutor|EXISTE_19
sicpro_app_salon_clases|grupo_app_salon_clases_responsable|31|Responsable|39|Responsable|EXISTE_19
