14|Canned Response Administrator|3|Canned Responses|19|Marketing||mail.group_mail_canned_response_admin
28|User|8|Surveys|19|Marketing||survey.group_survey_user
29|Administrator|8|Surveys|19|Marketing||survey.group_survey_manager
30|User|9|Project|28|Services||project.group_project_user
31|Administrator|9|Project|28|Services||project.group_project_manager
8|Allowed|1|Export|80|Master Data||base.group_allow_export
9|Creation|2|Contact|80|Master Data||base.group_partner_manager
24|Permitido|7|Importar|80|Master Data||sicpro_app_administracion.group_allow_importar
45|Activar Test|14|Tests de Desarrollo|80|Master Data||sicpro_modulo_test_desarrollo.grupo_test_desarrollo
17|Administrador|4|Administrar SICPRO|94|Administración SICPRO ERP||sicpro_app_administracion.grupo_app_administracion_admin
18|Notificaciones Administrativas|5|Notificaciones|94|Administración SICPRO ERP||sicpro_app_administracion.grupo_app_administracion_notificaciones
19|Canal del STAFF|6|Canales|94|Administración SICPRO ERP||sicpro_app_administracion.grupo_canal_staff
20|Canal de Proyectos|6|Canales|94|Administración SICPRO ERP||sicpro_app_administracion.grupo_canal_proyectos
21|Canal de DEOCT|6|Canales|94|Administración SICPRO ERP||sicpro_app_administracion.grupo_canal_deoct
22|Canal de DEOIT|6|Canales|94|Administración SICPRO ERP||sicpro_app_administracion.grupo_canal_deoit
23|Canal de Inversiones|6|Canales|94|Administración SICPRO ERP||sicpro_app_administracion.grupo_canal_inversiones
43|Administrador|13|Nomencladores|94|Administración SICPRO ERP||sicpro_modulo_nomencladores.grupo_sicpro_nomencladores_admin
54|Usuarios|17|Usuario del Proceso|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_usuario_proceso
55|Todos los Trabajadores|17|Usuario del Proceso|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_usuario_todos
56|Técnicos|18|Trabajadores|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_ejecutor
57|Responsable|18|Trabajadores|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_responsable
58|Administrador|18|Trabajadores|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_admin
59|Técnicos|19|Equipo Técnico|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_equipos_usuario
60|Responsable|19|Equipo Técnico|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_equipos_responsable
61|Administrador|19|Equipo Técnico|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_equipos_admin
62|Jefe del Proceso|20|Disciplinarias|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_disciplina_jefe
63|Técnicos|20|Disciplinarias|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_disciplina_usuario
64|Acción Legal|20|Disciplinarias|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_disciplina_legal
65|Responsable|20|Disciplinarias|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_disciplina_responsable
66|Administrador|20|Disciplinarias|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_disciplina_admin
67|Capacitador|21|Capacitación|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_capacitacion
68|Responsable|21|Capacitación|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_capacitacion_responsable
69|Ejecutor|22|Seguridad y Salud|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_seguridad_salud
70|Responsable|22|Seguridad y Salud|97|Capital Humano||sicpro_app_trabajadores.grupo_app_trabajador_seguridad_salud_responsable
77|Técnicos|26|Credenciales|97|Capital Humano||sicpro_app_credenciales.grupo_app_credenciales_ejecutor
78|Responsable|26|Credenciales|97|Capital Humano||sicpro_app_credenciales.grupo_app_credenciales_responsable
79|Administrador|26|Credenciales|97|Capital Humano||sicpro_app_credenciales.grupo_app_credenciales_admin
130|Usuarios|41|Instrucciones|97|Capital Humano||sicpro_app_instrucciones.grupo_app_instruciones_usuario
131|Instructor|41|Instrucciones|97|Capital Humano||sicpro_app_instrucciones.grupo_app_instruciones_responsable
132|Administrador|41|Instrucciones|97|Capital Humano||sicpro_app_instrucciones.grupo_app_instruciones_admin
113|Usuarios|36|Transporte|98|Transportación||sicpro_app_transporte.grupo_app_transporte_usuario
114|Ejecutor|36|Transporte|98|Transportación||sicpro_app_transporte.grupo_app_transporte_ejecutor
115|Responsable|36|Transporte|98|Transportación||sicpro_app_transporte.grupo_app_transporte_responsable
116|Administrador|36|Transporte|98|Transportación||sicpro_app_transporte.grupo_app_transporte_admin
117|Usuarios|37|Piquera|98|Transportación||sicpro_app_transporte.grupo_app_transporte_piquera_usuario
118|Ejecutor|37|Piquera|98|Transportación||sicpro_app_transporte.grupo_app_transporte_piquera_ejecutor
126|Usuarios|40|Clientes|101|Solicitudes de Obras||sicpro_app_clientes.grupo_app_clientes_usuario
127|Ejecutor|40|Clientes|101|Solicitudes de Obras||sicpro_app_clientes.grupo_app_clientes_ejecutor
128|Responsable|40|Clientes|101|Solicitudes de Obras||sicpro_app_clientes.grupo_app_clientes_responsable
129|Administrador|40|Clientes|101|Solicitudes de Obras||sicpro_app_clientes.grupo_app_clientes_admin
141|Usuarios|44|Solicitudes|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_solicitud_usuario
142|Administrativos|44|Solicitudes|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_solicitud_usuario_vertodo
143|Responsable|44|Solicitudes|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_solicitud_responsable
144|Administrador|44|Solicitudes|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_solicitud_admin
145|Ejecutor|45|Inversionistas|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_iniciativas_ejecutor
146|Territorial|45|Inversionistas|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_iniciativas_territorios
147|Ejecutor|46|Negociación|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_negocio_ejecutor
148|Ejecutor|47|Revisión del Negocio|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_negocio_pg_ejecutor
149|Ejecutor|48|Distribuidores|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_ejecutor_ejecutor
150|Ejecutante|49|Especialista Ejecutor|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_grupos_ejecutante
151|Responsable|49|Especialista Ejecutor|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_grupos_ejecutor
50|Usuarios|16|Materiales e Insumos|102|Preparación Técnica||sicpro_app_materiales_insumos.grupo_app_materiales_insumos_usuario
51|Ejecutor|16|Materiales e Insumos|102|Preparación Técnica||sicpro_app_materiales_insumos.grupo_app_materiales_insumos_ejecutor
52|Responsable|16|Materiales e Insumos|102|Preparación Técnica||sicpro_app_materiales_insumos.grupo_app_materiales_insumos_responsable
53|Administrador|16|Materiales e Insumos|102|Preparación Técnica||sicpro_app_materiales_insumos.grupo_app_materiales_insumos_admin
