modelo|tabla|filas15|estado|modulos|transient
sicpro.app.administracion.directorio.app|sicpro_app_administracion_directorio_app|4|MODELO_SOLO_15|sicpro_modulo_directorios|f
sicpro.app.contratos|sicpro_app_contratos|226|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.areas|sicpro_app_contratos_areas|12|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.beneficiarios|sicpro_app_contratos_beneficiarios|151|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.cuentas|sicpro_app_contratos_cuentas|265|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.dias|sicpro_app_contratos_dias|9|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.economia.acapite|sicpro_app_contratos_economia_acapite|34|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.economia.bancos|sicpro_app_contratos_economia_bancos|66|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.economia.cuentas.dvpe|sicpro_app_contratos_economia_cuentas_dvpe|4|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.economia.estados|sicpro_app_contratos_economia_estados|5|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.economia.indicador|sicpro_app_contratos_economia_indicador|34|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.economia.pago|sicpro_app_contratos_economia_pago|4|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.estados|sicpro_app_contratos_estados|12|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.etiquetas|sicpro_app_contratos_etiquetas|1|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.proveedores|sicpro_app_contratos_proveedores|250|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.proveedores.estados|sicpro_app_contratos_proveedores_estados|5|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.proveedores.etiquetas|sicpro_app_contratos_proveedores_etiquetas|1|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.proveedores.tipo|sicpro_app_contratos_proveedores_tipo|3|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.tipo|sicpro_app_contratos_tipo|5|MODELO_SOLO_15|sicpro_app_contratos|f
sicpro.app.contratos.unidades|sicpro_app_contratos_unidades|6|MODELO_SOLO_15|sicpro_app_contratos|f
